IF2010,19:09:52,500,4550.2,55235,75649210860.000000,4549.2,1,4550.4,2
IF2011,19:09:53,0,4522.6,1393,1895704080.000000,4520.4,1,4522.6,1
IF2010,19:09:53,0,4550.2,55235,75649210860.000000,4549.4,2,4550.4,2
IF2011,19:09:53,500,4522.6,1393,1895704080.000000,4520.6,1,4522.6,1
IF2010,19:09:53,500,4550.2,55235,75649210860.000000,4549.6,1,4550.2,1
IF2010,19:09:54,0,4550.2,55235,75649210860.000000,4549.6,1,4550.4,2
IF2010,19:09:54,500,4550.4,55238,75653305980.000000,4549.4,2,4550.6,3
IF2010,19:09:55,0,4550.4,55238,75653305980.000000,4549.8,1,4550.6,3
IF2010,19:09:55,500,4550.4,55238,75653305980.000000,4549.8,1,4550.6,3
IF2010,19:09:56,0,4550.4,55238,75653305980.000000,4549.8,1,4550.6,4
IF2010,19:09:56,500,4550.6,55244,75661496760.000000,4549.8,1,4550.6,3
IF2010,19:09:57,500,4550.6,55244,75661496760.000000,4549.8,2,4550.6,3
IF2010,19:09:58,0,4550.6,55244,75661496760.000000,4549.8,2,4550.6,3
IF2010,19:09:58,500,4550.6,55249,75668322300.000000,4550.6,6,4551,2
IF2010,19:09:59,0,4550.6,55249,75668322300.000000,4550.6,7,4550.8,1
IF2010,19:09:59,500,4550.6,55251,75671052780.000000,4550.6,6,4551,1
IF2011,19:10:00,0,4522.6,1394,1897060860.000000,4520.6,1,4524.4,5
IF2010,19:10:00,0,4550.6,55251,75671052780.000000,4550.8,1,4551,1
IF2011,19:10:00,500,4522.6,1394,1897060860.000000,4520.8,1,4524.2,1
IF2010,19:10:00,500,4551.6,55260,75683341500.000000,4551.4,1,4551.6,1
IF2011,19:10:01,0,4522.6,1394,1897060860.000000,4521.6,2,4525.2,2
IF2010,19:10:01,0,4552,55265,75690169140.000000,4551.6,1,4552,11
IF2011,19:10:01,500,4522.6,1394,1897060860.000000,4521.8,2,4525,1
IF2010,19:10:01,500,4551.8,55276,75705190500.000000,4551.8,10,4552,7
IF2011,19:10:02,0,4522.6,1394,1897060860.000000,4522.8,1,4525,1
IF2010,19:10:02,0,4552.8,55291,75725676060.000000,4552.4,8,4552.8,1
IF2011,19:10:02,500,4525,1395,1898418360.000000,4523,1,4526.8,5
IF2010,19:10:02,500,4552.8,55305,75744798600.000000,4552.8,1,4553.4,2
IF2011,19:10:03,0,4525,1395,1898418360.000000,4523.4,1,4526.4,2
IF2010,19:10:03,0,4553.8,55311,75752994840.000000,4553,2,4553.8,1
IF2011,19:10:03,500,4525,1395,1898418360.000000,4523.6,2,4526.6,1
IF2010,19:10:03,500,4553.6,55317,75761191500.000000,4553.8,1,4554,2
IF2011,19:10:04,0,4525,1395,1898418360.000000,4524.2,1,4526.6,1
IF2010,19:10:04,0,4553.6,55331,75780318420.000000,4553.6,2,4553.8,2
IF2011,19:10:04,500,4525,1395,1898418360.000000,4524.4,1,4527.8,5
IF2010,19:10:04,500,4553.6,55335,75785782860.000000,4553.4,3,4553.8,1
IF2011,19:10:05,0,4525,1395,1898418360.000000,4524.6,1,4526.8,2
IF2010,19:10:05,0,4553.4,55341,75793979100.000000,4553,1,4553.2,5
IF2011,19:10:05,500,4525,1395,1898418360.000000,4524.4,1,4526.6,1
IF2010,19:10:05,500,4552.8,55352,75809005380.000000,4552.8,1,4554,1
IF2010,19:10:06,0,4554,55358,75817202100.000000,4553.2,1,4554,2
IF2010,19:10:06,500,4553.2,55364,75825398940.000000,4553,1,4554,1
IF2010,19:10:07,0,4554,55371,75834962340.000000,4554.2,3,4554.6,4
IF2011,19:10:07,500,4525,1395,1898418360.000000,4524.4,1,4526.6,1
IF2010,19:10:07,500,4554.4,55374,75839061360.000000,4554,1,4554.6,3
IF2010,19:10:08,0,4554,55376,75841793760.000000,4553.8,1,4554.4,1
IF2010,19:10:08,500,4554,55383,75851357940.000000,4553.8,1,4554,1
IF2010,19:10:09,0,4554.6,55386,75855456720.000000,4554.4,2,4554.8,7
IF2011,19:10:09,500,4525,1395,1898418360.000000,4524.4,1,4526.6,1
IF2010,19:10:09,500,4554,55394,75866387280.000000,4554.4,1,4554.6,1
IF2011,19:10:10,0,4525,1395,1898418360.000000,4524.4,1,4528.8,5
IF2010,19:10:10,0,4554,55401,75875951820.000000,4554,15,4554.4,1
IF2011,19:10:10,500,4525,1395,1898418360.000000,4524.6,1,4527.4,2
IF2010,19:10:10,500,4554.2,55406,75882783420.000000,4554.4,1,4555,8
IF2011,19:10:11,0,4525,1395,1898418360.000000,4524.8,1,4528,2
IF2010,19:10:11,0,4555,55410,75888249120.000000,4554.8,3,4555,6
IF2011,19:10:11,500,4525,1395,1898418360.000000,4525.2,1,4527.8,1
IF2010,19:10:11,500,4555,55421,75903280500.000000,4555,1,4555.2,1
IF2011,19:10:12,0,4525,1395,1898418360.000000,4525.4,1,4528,2
IF2010,19:10:12,0,4555,55433,75919678140.000000,4554.6,1,4554.8,1
IF2011,19:10:12,500,4525,1395,1898418360.000000,4525.4,1,4527.8,1
IF2010,19:10:12,500,4554.2,55437,75925143540.000000,4554,16,4554.6,2
IF2011,19:10:13,0,4525.4,1396,1899775980.000000,4525,2,4527.8,1
IF2010,19:10:13,0,4554,55438,75926509740.000000,4554,15,4554.2,1
IF2011,19:10:13,500,4525.4,1396,1899775980.000000,4525,1,4527.6,1
